OTU_id	kingdom	phylum	class	order	family	genus	species	nav.cyl.b6	sem.nav.c1	sem.a1	sem.nav.c3	sem.nav.c4	nav.c5	nav.c6	triple.d1	triple.d2	sem.cyl.d3	nav.cyl.d4	nav.cyl.d5	cyl.d6	sem.cyl.a3	inoculum	sem.a4	cyl.a5	cyl.a6	triple.b1	nav.b2	sem.b3	sem.cyl.b4
13	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bacteriovoracaceae	Bacteriovorax	unclassified	109	3	0	3	12	2	0	16	10	1	0	0	5	0	0	0	0	609	6	119	0	0
14	Bacteria	Proteobacteria	Alphaproteobacteria	Kordiimonadales	Kordiimonadaceae	unclassified	unclassified	18	30	249	45	78	1	3	7	3	11	0	0	4	393	12	99	0	35	7	4	387	12
15	Bacteria	Proteobacteria	Alphaproteobacteria	Kiloniellales	Kiloniellaceae	Thalassospira	xiamenensis	50	78	189	12	168	0	18	148	62	3	3	3	6	40	0	469	0	21	31	5	79	182
16	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Celeribacter	baekdonensis	0	1	0	0	0	40	0	0	219	0	1	1	2	0	0	0	1	13	0	656	0	0
18	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	unclassified	unclassified	4	60	90	25	10	0	0	0	0	1	0	0	0	29	97	110	0	1	1	2	333	4
19	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Phaeobacter	unclassified	25	1	179	0	0	0	5	4	0	1	15	5	82	572	0	17	7	45	0	0	1	0
20	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Roseobacter	litoralis	1	12	309	9	10	2	1	0	1	16	2	2	4	9	2	324	1	11	4	0	19	13
21	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Sulfitobacter	guttiformis	15	14	3	52	40	8	22	9	34	38	66	71	125	21	0	3	109	208	34	11	0	29
22	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae	Crocinitomix	unclassified	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
23	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Antarctobacter	unclassified	0	0	0	0	2	0	0	0	0	0	28	186	292	0	0	0	0	0	0	0	0	0
24	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Arcobacter	unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	152	0	0	0
25	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Arcobacter	unclassified	1	7	3	0	0	0	55	1	0	3	156	0	8	8	8	0	27	30	5	10	0	0
26	Bacteria	Proteobacteria	Deltaproteobacteria	Syntrophobacterales	Syntrophobacteraceae	Desulfovirga	adipica	0	0	1	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0
27	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Sulfitobacter	guttiformis	0	0	0	0	0	0	0	0	0	157	0	0	0	0	0	0	0	0	0	0	0	0
